jenis_sekolah,status,keterangan_sks,kategori_pkl,kategori_kkn,kategori_seminar,kategori
Memenuhi,"Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 14","Belum Daftar","Semester 14",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 14",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 7",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 7",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 8",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 14",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 10","Belum Daftar","Belum Daftar",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 7",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 12",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 7",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 14","Belum Daftar","Semester 14",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 12","Belum Daftar","Belum Daftar",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 12",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 7",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 7",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 7",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 7",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Belum Daftar",belum_lulus
"Belum Memenuhi","Semester 6","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 6","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 7",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 8",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 12",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 5","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 5","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 8","Semester 7","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 8",belum_lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 7",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 7",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 8","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Belum Daftar",belum_lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 8","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 9","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Semester 9","Belum Daftar","Semester 9",belum_lulus
"Belum Memenuhi","Semester 7","Belum Daftar","Semester 9",belum_lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
Memenuhi,"Semester 6","Belum Daftar","Semester 8",lulus
Memenuhi,"Semester 7","Belum Daftar","Semester 9",lulus
"Belum Memenuhi","Belum Daftar","Belum Daftar","Semester 10",belum_lulus
